
 hg38	0.309189	28
 panTro4	0.309189	28
 gorGor3	0.309189	28
 ponAbe2	0.309189	28
 nomLeu3	0.487756	32
 rheMac3	0.244414	28
 macFas5	0.244414	28
 papAnu2	0.244414	28
 chlSab2	0.244414	28
 calJac3	0.283725	28
 saiBol1	0.283725	28
 otoGar3	0.320589	26
 tupChi1	0.333348	28
 speTri2	0.147415	28
 jacJac1	0.270471	27
 micOch1	0.087848	28
 criGri1	0.124879	28
 mesAur1	0.149188	28
 mm10	0.149188	28
 rn6	0.106775	28
 hetGla2	0.141026	28
 cavPor3	0.093859	27
 chiLan1	0.204203	28
 octDeg1	0.346698	28
 oryCun2	0.297055	28
 ochPri3	0.199376	28
 susScr3	0.373527	28
 vicPac2	0.419168	28
 camFer1	0.419168	28
 turTru2	0.186224	28
 orcOrc1	0.186224	28
 panHod1	0.286040	28
 bosTau8	0.280649	28
 oviAri3	0.317370	28
 capHir1	0.286040	28
 equCab2	0.302462	30
 cerSim1	0.361292	28
 felCat8	0.361292	28
 canFam3	0.361292	28
 musFur1	0.291087	28
 ailMel1	0.361292	28
 odoRosDiv1	0.308212	26
 lepWed1	0.278338	25
 pteAle1	0.361292	28
 pteVam1	0.361292	28
 eptFus1	0.450011	28
 myoDav1	0.361292	28
 myoLuc2	0.361292	28
 eriEur2	0.183232	28
 sorAra2	0.095357	32
 conCri1	0.310811	28
 loxAfr3	0.272281	25
 eleEdw1	0.230632	25
 triMan1	0.223663	28
 chrAsi1	0.123001	28
 echTel2	0.194403	28
 oryAfe1	0.321423	28
 dasNov3	0.162638	28
 monDom5	0.170832	30
 sarHar1	0.170832	30
 macEug2	0.170832	30
 ornAna1	0.278338	30
 colLiv1	0.000001	21
 falChe1	0.000002	22
 falPer1	0.000002	22
 ficAlb2	0.000018	13
 zonAlb1	0.000165	13
 geoFor1	0.000105	13
 taeGut2	0.000035	13
 pseHum1	0.000032	13
 melUnd1	0.003631	14
 araMac1	0.003631	14
 anaPla1	0.000004	6
 galGal4	0.000085	19
 melGal1	0.000023	2
 cheMyd1	0.000764	27
 chrPic2	0.002608	45
 pelSin1	0.000022	27
 apaSpi1	0.000038	34
 anoCar2	0.000041	24
 latCha1	0.000223	19
 allMis1	0.000032	13
 oryLat2	0.033403	25
